Sentence,Actual,Predicted
25 November 2010 - Finnish paints and coatings company Tikkurila Oyj ( HEL : TIK1V ) said today that Finnish state-owned investment company Solidium Oy sold its 14.7 % stake in the company for a total of EUR98m .,neutral,positive
"Markets had been expecting a poor performance , and the company 's stock was up 6 percent at  x20ac 23.89 US$ 33.84 in early afternoon trading in Helsinki .",positive,positive
"HELSINKI ( Thomson Financial ) - Kone said it has won four orders in Saudi Arabia , United Arab Emirates and Qatar worth 40 mln eur .",positive,positive
"The change in holdings in accordance with Chapter 2 , Section 9 of the Finnish Securities Markets Act is described below .",neutral,neutral
"Earnings per share ( EPS ) amounted to EUR0 .98 , up from the loss of EUR0 .02 .",positive,positive
"4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V said Wednesday its net profit rocketed to EUR4 .8 m in 2010 from EUR416 ,000 in 2009 and it lifted its dividend proposal .",positive,positive
The value of the multi-year agreement is over EUR 2mn a year .,neutral,positive
"Based on the first quarter result , existing order backlog and new order prospects , the company expects that full-year sales will contract by 25 % from 2008 , the gross margin will stay at a healthy level , and the operating profit margin will be lower than in 2008 due to lower sales volume .",negative,negative
The markets expect Heineken to sell Hartwall as a whole or in parts .,neutral,neutral
"Capacity of the facility made by Finland 's Vaahto Group is 86,000 tons of light coated paper .",neutral,neutral
"Sales improved to SEK 1,553 mn , compared with SEK 1,408 mn .",positive,positive
"In addition to verification of an identity and digital signatures , new state-approved Mobile ID enables to cast votes in elections as well .",neutral,neutral
This release is not an offer of securities for sale into the United States or elsewhere .,neutral,neutral
"OTHER  North-Rhine Westphalia - Is to issue a benchmark , 5 year fixed rate deal in Euros .",neutral,neutral
"The share capital of Basware Corporation is 11,720,829 .",neutral,neutral
"FL Group 's private equity division manages all operating companies , including Icelandair Group , FL Travel Group , Bluebird and Sterling .",neutral,neutral
"Earnings per share ( EPS ) amounted to EUR1 .37 , down from EUR2 .30 .",negative,negative
About Dopplr Dopplr is a service for smart travellers .,neutral,neutral
"Latin America currently accounts for approximately 40 % of sales at Tecnotree , company president and CEO Eero Mertano recently told BNamericas .",neutral,positive
"Panostaja owns a 68.77 pct of share capital and the voting rights of Suomen Helasto shares following an exchange of shares which was carried out on May 30 , 2007 .",neutral,neutral
"Helsinki 19 May 2010 - Finnish company Lemminkainen Oyj ( HEL : LEM1S ) said today that it will construct an office building at Toolonlahti in downtown Helsinki , without disclosing financial details .",neutral,neutral
"On the following workday customers can check from their home computers how their purchases are divided between different ingredient groups , how much energy various products contain and what is the nutritional content of all purchases .",neutral,neutral
"The company reported a profit of 800,000 euro ($ 1.2 mln)on the sale of its Varesvuo Partners sub-group and a loss of 400,000 euro $ 623,000 caused by the sale of its program production subsidiary Oy Filmiteollisuus Fine Ab .",neutral,neutral
"Utah 's capital wanted to be the next U.S. headquarters of Amer Sports Corp. , a ski-equipment company .",neutral,neutral
"The last quarter was the best quarter of 2009 in net sales , and the operating margin rose to 12.2 % .",positive,positive
"In the first nine months of 2010 , the company 's net loss narrowed to EUR 415,000 from EUR 7.4 million for the corresponding period of 2009 .",positive,positive
Sunrise Resources operates in Russian near-shore development markets through its wholly-owned Russian subsidiary and has 80 % of its personnel in Russia .,neutral,neutral
"Finnish plumbing and heating systems supplier Uponor 's net sales from continuing operations decreased by 9.4 % in 2008 to EUR 949.2 mn from EUR 1,047.4 mn in 2007 .",negative,negative
"Under the agreement , Larox will transfer 10 employees within engineering and documentation related to delivery projects and product maintenance in Finland to Etteplan as of January 1 , 2007 .",neutral,neutral
"`` After the transaction , Tikkurila has no powder coatings-related operations , '' the company said .",neutral,neutral
"From 2003 on , the emphasis of Kyro 's strategy has been on Glaston 's growth .",neutral,neutral
"In July-September 2009 , Konecranes ' sales decreased to EUR 368.7 mn from EUR 520.4 mn in July-September 2008 .",negative,negative
Mr Jortikka is president of the base metal division of Outotec Oyj in Finland and is on the executive committee of Outotec .,neutral,neutral
Finnish Bore that is owned by the Rettig family has grown recently through the acquisition of smaller shipping companies .,positive,positive
Our standardised services have met with a positive reception among our customers as well as at Itella .,positive,positive
Finnish department store chain Stockmann Oyj Abp net profit rose to 39.8 mln euro ( $ 56.8 mln ) for the first nine months of 2007 from 37.4 mln euro ( $ 53.4 mln ) for the same period of 2006 .,positive,positive
"According to the notification , the holdings of Ameriprice Inc. and its group companies are now in total 808,973 shares , which represent 3.582 % of Tekla -¦ s shares and voting rights .",neutral,neutral
"8,600 m , and at the time of investment it is fully leased to several tenants .",neutral,neutral
"ITG 's share in the deal is estimated at some 500,000 euro $ 627,000 .",neutral,neutral
"The Annual Report contains the financial statements , the consolidated financial statements , the report by the Board of Directors and the auditor 's report .",neutral,neutral
"Incap Corporation Stock Exchange Announcement 29 April 2010 at 1 p.m. INVITATION TO A NEWS CONFERENCE ON INCAP 'S INTERIM REPORT Q1-2010 Incap will publish its interim report for January-March 2010 on Wednesday , 5 May 2010 .",neutral,neutral
"Tecnotree 's convergent charging solution includes functionality for prepaid and post-paid billing , charging and rating of voice calls , video calls and raw data traffic for both mobile and fixed networks .",neutral,neutral
Fancy Dans on the move FAB Glasgow gift and interiors store Fancy Dans is moving !,neutral,neutral
Kone shares dropped 4.1 percent to  x20ac 43 US$ 55.77 in Helsinki .,negative,negative
"The latest result included per-share charges of 5 cents for stock compensation , 1 cent for research and development and 1 cent for strategic investments .",neutral,neutral
Each share is entitled to one vote .,neutral,neutral
"In Sweden , operating profit for the period under review totaled EUR 3.4 mn , up 30.8 % from the corresponding period in 2005 .",positive,positive
`` Our customer has been satisfied with Basware Invoice Automation solution and extends the implementation to new geographies .,positive,positive
"Apartments of YIT Home may be purchased in 5 regions of Russia , where YIT subsidiaries carry out their activities : Moscow and Moscow region , St. Petersburg , Ekaterinburg , Kazan and Rostov-on-Don .",neutral,positive
Kone 's net sales rose by some 14 % year-on-year in the first nine months of 2008 .,positive,positive
The growth of net sales in the first half of 2008 has been 28 % compared with the first half of 2007 .,positive,positive
"We know that it exists , '' Artemyev said .",neutral,neutral
Stora Enso 's third-quarter pre-tax profit doubled to EUR 197mn .,positive,positive
"Tyrvaan Sanomat , published twice a week by Tyrvaan Sanomat Oy , appears in Sastamala and Kiikoinen .",neutral,neutral
"Operating profit totaled EUR 9.4 mn , down from EUR 11.7 mn in 2004 .",negative,negative
AffectoGenimap builds highly customised IT solutions for its customers in Finland and the Baltic countries .,neutral,neutral
Operating profit excluding non-recurring items increased by 27 % to EUR 81.9 mn from EUR 64.4 mn in the corresponding period in 2008 .,positive,positive
"ISMS does not disclose its financial results , the daily said .",neutral,neutral
He joined Rautakirja in 1997 to lead one of its four business areas and took up the position of President and CEO in 2001 .,neutral,neutral
The contract value amounts to EUR 2.4 million .,neutral,positive
"Cost savings will then rise to some 20 mln eur a year from 2007 , OKO said .",positive,positive
Neste Oil Corporation Refining Operation Asset Summary Report Summary Neste Oil Corporation Refining Operation Assets Summary Report is an essential source for company data and information .,neutral,neutral
Comparable operating profit decreased to EUR 13.8 mn from EUR 17.1 mn in the corresponding period in 2005 .,negative,negative
Finnair 's total traffic decreased by 8.7 % in terms of revenue passenger kilometres .,negative,negative
"Profit after taxes for the period was up to EUR0 .9 m , from EUR0 .01 m last year .",positive,positive
"Therefore , the company 's 2005 result will remain weaker than that of 2004 .",negative,negative
"Tekla provides 3D software for building and infrastructure engineering , with a focus on building information modelling of steel and concrete structures from design to construction .",neutral,neutral
"ADPnews - Dec 23 , 2009 - Norwegian financial services group SpareBank 1 Gruppen AS OSL : SBGRP said its board of directors appointed today Jarle Haug managing director of its claims collection subsidiary SpareBank 1 Gruppen Finans",neutral,neutral
Work on the assignment has already started and is due for completion in spring 2011 .,neutral,neutral
"The company said that 80 % of the shares of the holding company will be sold to Meadville Holdings Limited , a Hong Kong listed parent company of the Meadville Group .",neutral,positive
"The Company serves approximately 3,000 customers in over 100 countries .",neutral,neutral
"The period 's sales dropped to EUR 30.6 million from EUR 38.3 million , according to the interim report , released today .",negative,negative
"However , the brokers ' ratings on the stock differ .",neutral,neutral
The total value of the deliveries is some EUR65m .,neutral,positive
"To check them out or to make a bid they will be in the Deka Showroom , Fortitude Valley .",neutral,neutral
Swedbank 's shares have been hardest hit of the Swedish banks by the ongoing international financial crisis .,negative,negative
"Copper , lead and nickel also dropped ... HBOS ( HBOS ) plummeted 20 % to 70.3 pence after saying this year+ó ??",negative,negative
New Novator products are supposed to be exported .,neutral,neutral
Investment management and investment advisory services are the company 's sole line of business .,neutral,neutral
The increase range will vary up to 10 % .,neutral,positive
"The Samsung Mobile Applications Store was launched in January 2009 by Samsung Mobile Innovator , a program which enables mobile software developers to create applications for use across Samsung mobile devices .",neutral,neutral
"Currently it operates a fleet of eight carriers , as well as nine pushers and barges .",neutral,neutral
"`` The enterprise value of the Fray Bentos pulp mill and Forestal Oriental totals approximately euro1 .6 billion , '' UPM said .",neutral,positive
The sellers were EOSS Innovationsmanagement and a group of private individuals .,neutral,neutral
"The add-on order contains , among others , control valves and instrumentation as well as complete mill engineering and electrification with Metso drive controls .",neutral,neutral
Cash flow from business operations totalled EUR 0.4 mn compared to a negative EUR 15.5 mn in the first half of 2008 .,positive,positive
"The devices would be launched in the Chinese market in late 2006 , the company said .",neutral,neutral
The CVs of the proposed members are available for viewing from 12 March 2008 onwards on the Internet at www.sampo.com/ir .,neutral,neutral
Registration is required .,neutral,neutral
The Diameter Protocol is developed according to the standards IETF RFC 3588 and IETF RFC 3539 .,neutral,neutral
Olli-Pekka Laine has been appointed as the Chairman and Erkki Pehu-Lehtonen as the Vice Chairman of the Board .,neutral,neutral
Mr. Kari Stadigh will carry on as Chairman of the Board and Mr. Matti Arteva as Vice-Chairman .,neutral,neutral
SHARE REPURCHASE 11.01.2008 In the Helsinki Stock Exchange On behalf of Sampo plc Danske Bank A-S Helsinki Branch,neutral,neutral
The company does not disclose the sum it applied for .,neutral,neutral
Pertti Ervi is independent from the Company and its major shareholders .,neutral,neutral
"Net interest income was EUR 39.3 mn , up from EUR 32.7 mn .",positive,positive
"He answers questions on how many visitors Conversations gets , how big the team is and what the problems are when setting up social media channels .",neutral,neutral
The annual net sales of the unit is some EUR 5 million and it currently employs some 55 people .,neutral,neutral
Ixonos will finance the acquisition through a 3.8 mln euro $ 5.2 mln loan .,neutral,neutral
"The company said that paper demand increased in all of its main markets , including of publication papers , and that it increased average paper prices by 4 percent compared with last year .",positive,positive
"Rohwedder Group is an automotive supplies , telecommunications and electronics industry provider for customers in Europe , North America and Asia .",neutral,neutral
Diluted earnings per share ( EPS ) rose to EUR 0.52 versus EUR 0.09 .,positive,positive
"The business transfer will take effect from 1 January 2007 , and in connection with this 47 employees will transfer from Elisa to Daxtum as continuing employees .",neutral,neutral
The group reiterated its forecast that handset manufacturers will sell around 915 mln units this year globally .,neutral,positive
"Maggie Ramsey 's wait - and those of thousands of Oregon and Washington guides , anglers and others who flock to his frequent seminars - is nearly over .",neutral,neutral
"Motorola Inc. of the United States came second with shipments of 217.4 million units for a 21.3 percent market share , followed by South Korea 's Samsung Electronics Co. with shipments of 118.0 million units for an 11.6 percent share .",neutral,positive
"In the first quarter of 2010 , the mark-to-market result was a pretax profit of EUR 133 million versus a loss of EUR 32 million in the same period last year .",positive,positive
Finnish elevators and escalators maker KONE Corporation said on Tuesday ( 18 March ) that it has received a major order from Sir Robert McAlpine to supply all elevators and escalators for the Watermark Place project in the City of London .,positive,positive
It will report full-year results on August 22 .,neutral,neutral
"In 2008 , the steel industry accounted for 64 percent of the cargo volumes transported , whereas the energy industry accounted for 28 percent and other industries for 8 percent .",neutral,neutral
Net sales revenue per passenger is expected to increase .,positive,positive
Okmetic expects its net sales for the first half of 2009 to be less than in 2008 .,negative,negative
"Addus ' services include personal care and assistance with activities of daily living , skilled nursing and rehabilitative therapies , and adult day care .",neutral,neutral
"The deal covers Stockmann Auto Oy Ab 's sales and after-sales services concerning Volkswagen and Audi in Helsinki , Espoo and Vantaa .",neutral,neutral
Net profit was 35.5 mln compared with 29.8 mln .,positive,positive
"Operators only need to learn how to use one device for multiple levels of applications , including voice-directed operations .",neutral,neutral
"Finnish software developer Basware Oyj said on November 30 , 2006 its U.S. subsidiary Basware , Inc. won an order to provide software for contract lifecycle management to an unnamed U.S. medical technology company .",positive,neutral
"In Finland 's Hobby Hall 's sales decreased by 10 % , and international sales fell by 19 % .",negative,negative
Oriola-KD is a spin-off of Finnish pharmaceutical group Orion Oyj 's wholesale division .,neutral,neutral
"The portfolio comprises of 118,000 m2 of leasable space with a vacancy rate of roughly 5 % , let to around 140 tenants of which two of the largest are the Swedish government and Ericsson .",neutral,neutral
"Our customers come from the following countries : UK , USA , Spain , France , Italy , Germany , China , Sweden , Norway , Netherlands , Austria , Belgium , Switzerland , Czech Republic , Serbia , Finland , Canada , Russia , Ukraine , Portugal , Denmark , Ireland , South Korea , Estonia and Liechtenstein .",neutral,neutral
"Thanks to the multiplying effect of wagon performance , transport will be much more efficient , '' says development manager Juha Malkia from VR Cargo .",positive,positive
"128,538 shares can still be subscribed for with Series E share options , max .",neutral,neutral
"The product advisory does not apply to any other Nokia-branded battery , the company said .",neutral,neutral
"Sales are expected to increase in the end of the year 2006 , however .",positive,neutral
"Savon koulutuskuntayhtyma , Finland based company has awarded contract for specialist agricultural or forestry machinery .",positive,neutral
"Finnish bank Pohjola Bank Plc HEL : POH1S said today that it will issue a EUR 40 million USD 51.2 m index-linked bond , Pohjola Tutkimuksen Tahdet VIII-2010 Pohjola Research Stars VIII-2010 , on October 27 , 2010 .",neutral,neutral
"2010 16 July 2010 - Finnish steel maker Rautaruukki Oyj HEL : RTRKS , or Ruukki , said today it turned to a net profit of EUR20m in the second quarter of 2010 from a net loss of EUR94m in the corresponding period last year .",positive,positive
"At the end of March 2009 , the company 's loans amounted to EUR 10.113 mn .",neutral,neutral
"October-December sales were 302 mln eur , or a 25.3 pct increase year on year .",positive,positive
"According to the Finnish-Russian Chamber of Commerce , all the major construction companies of Finland are operating in Russia .",neutral,neutral
Operating profit rose to EUR 13.5 mn from EUR 9.7 mn in the corresponding period in 2006 .,positive,positive
"The company was supposed to deliver machinery to a veneer mill in the Tomsk region , in Russia .",neutral,neutral
"Alma Media holds 70 % of this company , the remaining shares being owned by the company 's key employees .",neutral,neutral
The investment would be some EUR5m .,neutral,neutral
"The Lithuanian beer market made up 14.41 million liters in January , a rise of 0.8 percent from the year-earlier figure , the Lithuanian Brewers ' Association reporting citing the results from its members .",positive,neutral
"The start of the negotiations , relating to Glaston 's efficiency program , was announced in October .",neutral,neutral
HELSINKI AFX - Outokumpu said its technology unit has won a 28 mln eur contract from Bosnia-Herzegovina 's Aluminij dd Mostar to upgrade an anode plant .,positive,positive
"Quartal Oy now owns 2,094,063 shares in Satama Interactive Plc , which represents 5,19 per cent of the share capital and voting rights .",neutral,neutral
The beers differ slightly from mainstream beers .,neutral,neutral
"Finnish Sampo-Rosenlew manufactures approximately seven forest machines monthly , and about half of machines are exported .",neutral,neutral
"Metsaliitto will sell 1.1 million B shares of Neomarkka , accounting for about 18.3 pct of Neomarkka 's equity and about 12.7 pct of the voting rights .",neutral,neutral
The invention carries International Patent Publication No. .,neutral,neutral
Also the development of online businesses will continue .,neutral,neutral
Finnish consumer packaging manufacturer Huhtamaki Oyj said it swung to a net profit of 84.1 mln euro $ 105.6 mln in the first nine months of 2006 from a net loss of 2.6 mln euro $ 3.3 mln in the same period of 2005 .,positive,positive
"The unit 's clients are mainly in the field of specialist convenience goods , as well as in the textile , shoe and furniture businesses .",neutral,neutral
`` The issues identified by Stonesoft affect a range of content inspection technology .,neutral,neutral
The plan is estimated to generate some EUR 5 million ( USD 6.5 m ) in cost savings on an annual basis .,positive,positive
"It operates under three distinct brands : United Supermarkets , Market Street and United Supermercado .",neutral,neutral
Performance in the second half of 2009 exceeded expectations .,positive,positive
It will also strengthen Ruukki 's offshore business .,positive,positive
Marimekko is considering further measures in the matter .,neutral,neutral
The company expects meat purchases to remain at about 8mn kilos in 2011 .,neutral,neutral
The company confirmed its estimate for lower revenue for the whole 2009 than the year-ago EUR93 .9 m as given in the interim report on 5 August 2009 .,negative,negative
"The Helsinki-based company , which also owns the Salomon , Atomic and Suunto brands , said net profit rose 15 percent in the three months through Dec. 31 to (  x20ac ) 47 million ( $ 61US million ) , from (  x20ac ) 40.8 million a year earlier .",positive,positive
Saunalahti is a part of the Elisa group .,neutral,neutral
"According to preliminary data from Slovakia 's Statistics Office , goods worth E36 .4 million were imported from Finland between January and October 2010 , making up 0.1 percent of Slovakia 's total imports .",neutral,neutral
"In volume , the focus is already outside Finland , as 60 % of the group 's products are made in Poland and the Baltic countries .",neutral,positive
The forecast for 2012 is 3.3 % .,neutral,positive
Exel is headquartered in Mantyharju in Finland .,neutral,neutral
"Investors will continue being interested in the company 's share although it is not quite cheap , Affarsvarlden said .",positive,neutral
At CapMan Haavisto will be responsible for Group Finances and Accounting and IT .,neutral,neutral
Mr Skogster currently serves as the manager responsible for ABB Oy 's system modules for low voltage drives .,neutral,neutral
"The operations to be sold include manufacturing units in Finland , France , Poland and Turkey , as well as sales units in Germany and Lithuania .",neutral,neutral
"At first , Solteq 's services to companies operating in the St. Petersburg area will include maintenance and material management systems and data collection solutions .",neutral,neutral
Capitex Kalmar will continue to be responsible for the maintenance and technical development of the services .,neutral,neutral
Diluted earnings per share ( EPS ) stood at EUR 0.25 versus EUR 0.42 .,negative,negative
"Steek , which was set up in 2002 , is based in Bordeaux , southwestern France .",neutral,neutral
"Metsa-Botnia will finance the payment of dividends , the repayment of capital and the repurchase of its own shares with the funds deriving from its divestment of the Uruguay operations , and shares in Pohjolan Voima , and by utilising its existing financing facilities .",neutral,positive
"Honkarakenne mainly exports large luxury log houses to Russia to be used as one-family houses or holiday homes ; 70 % of sales go to the Moscow region , about 20 % to the St Petersburg region , and the remainder to other locations .",neutral,positive
"Changes in the market situation and tougher price competition have substantially reduced demand for bread packaging manufactured at the Kauhava plant , according to the company .",negative,negative
Tiimari operates 194 stores in six countries -- including its core Finnish market -- and generated a turnover of 76.5 mln eur in 2005 .,neutral,positive
Shares will be acquired in accordance with section 5 of the rules of NASDAQ OMX Helsinki and other rules applicable to the acquisition of own shares .,neutral,neutral
There have not been previous share subscriptions with 2004 stock options .,neutral,neutral
"The remainder of its revenues will come from technology agreements with other firms , InterDigital said .",neutral,neutral
"The acquisition does not have to be from the frozen foods or fish sector , as long as it has synergies with L+ñnnen Tehtaat 's other businesses .",neutral,neutral
BasWare Order Matching automatically matches purchase invoices with approved purchase orders .,neutral,neutral
Group net sales in the third quarter of 2007 totaled EUR 142.3 mn and operating profit EUR 4.3 mn .,neutral,neutral
"Alpina Sports is a Lebanon , New Hampshire USA based distributor of e.g. Alpina ski shoes and skis , Exel ski poles , Start ski waxes and now also Peltonen cross-country skis .",neutral,neutral
"FinancialWire tm is not a press release service , and receives no compensation for its news , opinions or distributions .",neutral,neutral
The financial statements release will be available after publishing on the Company 's internet pages at www.cargotec.com .,neutral,neutral
Aker Yards Finland will begin using Chinese subcontractors at its Finnish shipyards .,neutral,neutral
"Fortum expects its annual capital expenditure in the next four to five years to be within a range of EUR 0.8-1 .2 billion , as earlier announced .",neutral,neutral
"Cost cutting measures , which have produced around EUR70m of savings over the past nine months , have dampened the airline 's loss , Finnair said .",positive,neutral
Finnish Bank of +àland reports its operating profit rose to EUR 21.3 mn in the second quarter of 2009 from EUR 6.1 mn in the corresponding period in 2008 .,positive,positive
"The firm is headquartered in Vantaa , southern Finland and has 16 employees .",neutral,neutral
"Full-year net sales are expected to increase by approximately 10 % , the company said .",positive,positive
"Kemira , headquartered in Helsinki , Finland , is an international chemicals group comprising the business areas Kemira Pulp & Paper , Kemira Water , Kemira Specialty and Kemira Coatings .",neutral,neutral
Finnish media group Talentum has issued a profit warning .,negative,negative
The closing of such transaction took place today .,neutral,neutral
"According to Gallup Food and Farm Facts , beef consumption totaled 99mn kilos in Finland in 2007 .",neutral,neutral
The plant is expected to enter commercial operation by mid-2009 .,neutral,neutral
"It will be operated by Nokia , and supported by its Nokia NetAct network and service management system .",neutral,neutral
"Mr Ashley , deputy executive chairman of Sports Direct , sold a 43pc stake in the company for more than pounds 900m at the time of the float .",neutral,positive
It has some 30 offices worldwide and more than 90 pct of its net sales are generated outside Finland .,neutral,positive
